File,FAQ_Number,Question,Answer,AskAngela Response
Learning wallet Policy.txt,6,What documents are required for reimbursement?,"For reimbursement, submit your completion certificate, payment receipt, and all approval emails to capabilitydevelopment@angelbroking.com within 30 days of finishing the program.  Upload documents to the Spend Management Tool.","For reimbursement claims, you are required to keep all your *bills* and *receipts* safe and documented.

Specifically:
- For *Cab / Taxi / Auto Rickshaw* expenses, actual submission of *bills* or a *declaration of expenses incurred* is needed.
- For *Public Transport* like bus or metro, *tickets* are required.
- For *Parking Fees*, *receipts* are necessary.
- When raising a claim through Darwin Box, you will need to attach *bills/receipts*."
Learning wallet Policy.txt,7,What happens if I leave Angel One within a year of using the Learning Wallet?,"If you voluntarily leave within one year, the course fee will be deducted from your final settlement.","If you voluntarily separate from Angel One within one year of receiving Learning Wallet reimbursements, the course fee will be deducted as part of your final settlement."
Learning wallet Policy.txt,8,Can I use the Learning Wallet during my notice period?,"No, the Learning Wallet policy is not applicable during your notice period.",The Learning Wallet Policy is not applicable for employees in their notice period.
Learning wallet Policy.txt,9,How long must I work at Angel One to be eligible for the Learning Wallet?,You must have completed at least three months with Angel One to be eligible.,"To be eligible for the Learning Wallet, employees need to complete at least 3 months within Angel One."
Learning wallet Policy.txt,10,What if my manager rejects my Learning Wallet request?,"If your manager rejects your request, discuss the reasons for the rejection and explore alternative solutions or resubmit a revised request addressing the concerns.",The policies do not mention specific information about what happens if your manager rejects a Learning Wallet request. I'm unable to provide details on this particular question.
Learning wallet Policy.txt,11,Who is my Learning Partner for approval?,Your Learning Partner depends on your department. Refer to the Contact Matrix in the policy document to find the appropriate contact.,"The policies indicate that your Learning Partner for approval depends on your department or role.

- For *Shared Services*, your Learning Partners are Swatilekha Chowdhury and Karthika Baburaj.
- For *Leadership*, your Learning Partner is Suvira Yadav.

To help you identify your specific Learning Partner, could you please specify if your role falls under Shared Services or Leadership?"
Learning wallet Policy.txt,12,Can I use the Learning Wallet for courses outside my current role?,"While it's primarily for your current role, discuss with your manager and Learning Partner if a course aligns with your career path and has clear business value.","The Learning Wallet is primarily designed to support skill development for your *current role*.

However, if a certification or course aligns with your career path and has a clear business value, you can discuss this with your manager and obtain Learning partner approval."
Learning wallet Policy.txt,13,What happens if I change roles within Angel One?,"Previously approved reimbursements remain unaffected. For new requests, ensure alignment with your new role and obtain approval from your new manager.","If you move to a different role within Angel One, previously approved *learning reimbursements* will remain unaffected. For any new learning requests, you should consider *role-specific alignment* and seek approval from your current manager."
Learning wallet Policy.txt,14,What if I don't complete the course within three months of approval?,You might not receive reimbursement if the course isn't completed within three months and may need to discuss it with your Learning Partner.,"The policies state that you need to complete the course within three months of receiving approval. This is to ensure that the course aligns with the fiscal limits.

The policies do not specify the exact consequences if a course is not completed within this three-month timeframe."
Learning wallet Policy.txt,15,Can I apply for multiple courses in a financial year?,"Yes, but the total cost must remain within your annual Learning Wallet limit, and each course must align with your role and receive the necessary approvals.","Yes, you can apply for multiple courses in a financial year. This is permissible as long as the courses remain within your annual Learning Wallet limit and align with your role."
Learning wallet Policy.txt,16,What if my course is only partially completed by the end of the financial year?,Only fully completed courses with certificates of completion qualify for reimbursement within the financial year.  Plan your course completion accordingly.,Only fully completed courses with *certificates of completion* qualify for reimbursement within the same *financial year*. It is important to plan course completion accordingly.
Learning wallet Policy.txt,17,Can I use the Learning Wallet for renewal fees for certifications?,"Generally no, but discuss with your manager if the renewal is crucial for your role.","Generally, Learning Wallet funds do not cover renewal fees or certification upkeep.

However, if the certification is *role-essential*, you should discuss this with your manager to explore potential options."
Learning wallet Policy.txt,18,Can I exceed my Learning Wallet limit for a high-value opportunity?,Exceptions may be considered if the learning aligns with critical business needs. Discuss this with your manager and Learning Partner.,"While *Learning Wallet* limits are set by job level, exceptions may be reviewed. This is possible if the learning opportunity aligns closely with critical business needs.

To explore this, you should discuss it with your manager and *Learning Partner* for consideration."
Learning wallet Policy.txt,19,What is the effective date of this Learning Wallet policy?,"This policy is effective from February 4th, 2025. Courses started before this date will not be reimbursed unless explicitly approved under previous policy versions (1.0, 2.0, 3.0, 4.0 & 5.0).",The Learning Wallet policy is effective from *4th February 2025*.
Learning wallet Policy.txt,20,What if I have further questions regarding this policy?,Contact your Learning Partner or the Capability Development team at capabilitydevelopment@angelbroking.com for assistance.,"If you have further questions or need guidance regarding this policy, you can contact the following:

- Your Line manager or Skip Manager
- HR Business Partner
- People Relations team

For clarification regarding any specific provision of the policy, you can reach out to the People Relations Lead or any representative from People Relations."
Leave Policy AOL.txt,1,What is the purpose of this leave policy?,"This policy provides clear guidelines on leave provisions to balance employees' personal and professional lives, detailing available leave types and application procedures.","The purpose of this leave policy is to:

- Communicate clear guidelines regarding leave provisions to employees, helping them balance their personal and professional lives.
- Provide details on the types of leaves available to employees and the guidelines for availing them."
Leave Policy AOL.txt,2,Who does this policy apply to?,This policy applies to all full-time employees of Angel One.,The policies do not mention specific information about who this policy applies to. I'm unable to provide details on this particular question.
Leave Policy AOL.txt,3,How many days of annual leave do I get?,"You accrue 12 days of annual leave per year, credited quarterly on April 1st, July 1st, October 1st, and January 1st.  You can accrue a maximum of 45 days.","Employees are credited with a total of *12 days* of Annual Leave per year. These leaves are credited quarterly on April 1, July 1, October 1, and January 1."
Leave Policy AOL.txt,4,Can I carry over unused annual leave?,"Yes, unused annual leave can be carried over to the next year, up to a maximum of 45 days.  Any excess will expire on March 31st.","Yes, you can carry over unused Annual Leave.

A maximum of *45 days* of unused Annual Leave balance can be carried over to the next financial year. This carry-over occurs every year on April 1st. Any Annual Leave exceeding 45 days will expire on March 31st."
Leave Policy AOL.txt,5,Can I cash out my annual leave?,"Yes, unused annual leave (up to 45 days) can be encashed upon separation, retirement, or termination, based on your basic pay.","Yes, you can encash your Annual Leave.

Unused earned leave, up to a maximum of 45 days, can be redeemed if your employment with the company is confirmed at the time of separation, retirement, voluntary termination, involuntary termination, or death. The encashment calculation will be based on your Basic Pay."
Leave Policy AOL.txt,6,"How many days of mandatory leave do I get, and can I carry it over?","You receive 10 days of mandatory leave per year, credited in two installments of 5 days each on April 1st and October 1st.  Unused mandatory leave does not carry over.","You are entitled to 10 days of Mandatory Leave per year.

These leaves are credited on a biannual basis, with 5 days on April 1st and 5 days on October 1st of each year. Unused Mandatory Leave will expire if not used within the financial year and cannot be carried forward to the next year."
Leave Policy AOL.txt,7,"What is special leave for, and how long is it?","Special leave is for your birthday. You get 1 day, and must use it within 30 days of your birthday.  It is not carried over.","Special leave is available for *Birthday leave*.

You are entitled to 1 day of special leave, which must be taken within 30 days of your birth date. If not used within this 30-day period, the leave will expire."
Leave Policy AOL.txt,8,"How long is maternity leave, and what are the requirements?","Maternity leave is 182 days (26 weeks), with a maximum of 8 weeks before delivery.  A medical certificate at least 8 weeks prior to the leave is required.  For women with more than two surviving children, the leave is reduced to 12 weeks.  80 days of employment is required before eligibility.","Maternity leave is generally 26 weeks, inclusive of all holidays and weekends. A maximum of 8 weeks of this leave can be availed before delivery.

Specific durations apply in certain cases:
- For a woman having more than two surviving children, the entitlement is restricted to 12 weeks. This benefit can be availed for a maximum of 6 weeks before and 6 weeks after the expected date of delivery.
- A *commissioning mother* (biological mother going for surrogacy) is also entitled to 12 weeks of maternity benefit.

To be eligible for maternity benefit, a woman must complete 80 days of employment in Angel. Additionally, an applicant for maternity leave must give notice to the company, supported by a medical certificate, not less than 8 weeks prior to the start of the leave period, mentioning the tentative date of delivery."
Leave Policy AOL.txt,9,What are the details for paternity leave?,"Paternity leave is 10 days, and is valid for the first two births or adoption of a child under one year old. Supporting documents (birth certificate, hospital discharge card, or adoption letter) are required. Leave must be taken before or within 2 months of birth/adoption.","Paternity Leave details are as follows:

*   **Leave Type:** Paid
*   **No. of days:** 10
*   **Encashable:** No
*   **Carry forward to next year:** No

*Key details:*
- Public holidays and weekly offs are not included in Paternity Leave.
- This leave is valid for the first two births and for the legally adopted adoption of a child under the age of one.
- It can be requested as a single continuous block of time either one month before the child is born or within two months of the child's birth or adoption.
- New fathers needing more time off but without sufficient leave remaining can take unpaid leave. The leave advantage will lapse if not used within the allotted time.

*Application Process:*
- Apply through Darwinbox by navigating to ""Leave"" and selecting the specific category.
- Relevant supporting documents are mandatory, such as the birth certificate, the baby's hospital discharge card, or a letter certifying adoption.

*Approval Process:*
- Approved by the Reporting Manager after validating the supporting documents.
- Reporting Managers must act on the request (approve/reject) before the 20th of every month; otherwise, such leaves will be considered as Loss of Pay."
Leave Policy AOL.txt,10,How do I apply for leave?,Most leaves are applied through Darwinbox.  Critical illness leave and sabbatical leave require email requests with supporting documentation.,"To apply for leave, you generally need to plan and apply for it on *HRMS* or *Darwinbox* beforehand.

Here's how to apply for different types of leaves:

- *Annual Leave*, *Mandatory Leave*, *Special Leave-Birthdate*, *Maternity Leave*, *Paternity Leave*, *Adoption Leave*, *Bereavement Leave*, and *Miscarriage Leave*: Apply through *Darwinbox* by navigating to Leave and selecting the specific category against your available balance. Relevant supporting documents are mandatory for some of these.
- *Sabbatical Leave*: Request this by email to your Reporting Manager and *HR Business Partner*, stating the reason and including any mandatory supporting documents.
- *Leave for Critical Illness for Self or Immediate Family*: Request this by email to your Reporting Manager with a copy to your *HR Business Partner*.

All leave applications require approval from your Reporting Manager before you go on leave. In emergencies, you should intimate your Reporting Manager via call, text, or email and get the leave approved after returning. Taking leave without prior application or approval may result in disciplinary action."
Leave Policy AOL.txt,11,What is the process for getting my leave approved?,"Most leave requests must be approved by your Reporting Manager within 3 days (except parental leaves, which must be approved before the 20th of the month).  If not approved within this timeframe, it is automatically approved (except for parental leaves which will become Loss Of Pay).","The approval process for leave varies depending on the type of leave you are applying for.

To provide you with the most accurate information, could you please specify which type of leave you are interested in?"
Leave Policy AOL.txt,12,What happens if I don't get my leave approved?,"If your leave is denied, you are not entitled to compensation for that time.  Management reserves the right to recall you from leave if necessary.","If your leave is not approved, several situations can occur:

- If your *Reporting Manager* does not act on your leave application (approve or reject) before the 20th of every month, such leaves will be considered as *Loss of Pay* (LOP), and your salary will be deducted accordingly.
- If permission for your leave is denied, you cannot claim compensation for the same.
- Days you are absent from work without approved leave will be considered as *unpaid leaves*.
- Additionally, leave requests submitted with a backlog of more than 60 days cannot be applied on the system or manually and will also be regarded as *LOP*."
Leave Policy AOL.txt,13,What if I need more leave than what's allocated?,You can apply for Leave Without Pay (LWP) for up to 30 days; anything beyond requires further scrutiny.,"If you need more leave than your allocated balance, you can apply for Leave without pay (LWP) once your current leave account is exhausted. This can be for a maximum of 30 days and requires approval from your Reporting Manager. Any leave requested beyond 30 days will undergo scrutiny.

For specific situations, you may also consider *sabbatical leave*, which is an unpaid time off option for reasons such as Higher Studies / Study Leave or Caregiving in case of illness of extended family members. This requires a written request and consultation with your Reporting Manager and HRBP, along with necessary supporting documentation.

New fathers who have used up their entire leave balance but require more time off can also take unpaid leave."
Leave Policy AOL.txt,14,What are the penalties for unauthorized absence?,"Unauthorized absence without prior notification or application results in no pay.  Three consecutive days of unauthorized absence may result in disciplinary action, up to and including termination.","For unauthorized absence, the penalties include:

- *Termination* of employment.
- Any *unserved notice period* will be deducted from the full and final settlement.
- Pending *benefits* such as performance bonuses or gratuity may be withheld or forfeited.
- The days an employee is absent without authorization will be considered as *unpaid leaves*.
- If an employee returns after being marked as absconding, the company reserves the right to either deny rejoining or proceed with *disciplinary action*."
Leave Policy AOL.txt,15,Can I take leave during my notice period?,"Ideally not, but you can apply for leave in case of emergencies with your Reporting Manager's approval.","The policies contain conflicting information regarding taking leave during your notice period.

One policy states that employees are *ideally not allowed* to take leave during their notice period, but *in case of any exigencies*, an employee may apply for leave after necessary approval from their Reporting Manager.

However, another policy states that employees are *not eligible* to take any leave when serving their notice period.

To provide a precise answer, could you please clarify if your query pertains to a normal circumstance or an exigency?"
Leave Policy AOL.txt,16,What is the policy on submitting leave requests after the fact?,Leave requests can be submitted through Darwinbox up to 60 days after the leave was taken. Requests older than 60 days will be considered LOP.,Employees can submit leave requests via Darwinbox with a maximum 60-day delay or backlog from the date the leave was taken. Leaves with more than 60 days of backlog cannot be applied on the system or manually and will be regarded as Loss of Pay (LOP) only.
Leave Policy AOL.txt,17,What is the procedure for critical illness support leave?,"This leave requires an email request to your HR Business Partner, with support documentation and approval from your Reporting Manager.  It's used only after annual and mandatory leave is exhausted and does not appear in Darwinbox.","To apply for *Critical Illness Support Leave*:

*   **Application Process:**
    *   The employee must send an email request with a Cc to their respective HR Business Partner.
    *   If the employee is unable to send an email, their Reporting Manager can directly email the HR Business Partner.

*   **Approval Process:**
    *   The Reporting Manager must approve the request via email and send it to the respective HR Business Partner after validating the supporting documents.

This leave can only be used once all annual and mandatory leaves have been utilized."
Leave Policy AOL.txt,18,What are the eligibility requirements for sabbatical leave?,"You need at least two years of service, a performance rating of 'Meeting Expectations' or higher, and no involvement in grievances, PEPs, or disciplinary actions.  Approval is required from your Reporting Manager, Skip-Level Manager, and/or CXO.","To be eligible for sabbatical leave, an employee must meet the following requirements:

- Have worked for the company for a minimum of two full years.
- Have a most recent performance rating of ""Meeting Expectations"" or above.
- Not be currently involved in any grievances, PEPs (Performance Enhancement Plans), or disciplinary actions."
Leave Policy AOL.txt,19,What is the annual cycle for leave accounting?,The annual leave accounting cycle runs from April 1st to March 31st. Unused annual leave (up to 45 days) carries over; other unused leaves expire on March 31st.,The annual cycle for leave accounting runs from *1st April* to *31st March* of the financial year.
Leave Policy AOL.txt,20,Who should I contact if I have questions about this policy?,"For clarification, contact hrb@angelbroking.com, Rakshatha.shetty@angelbroking.com, or raise a ticket on 'HR assist' in Darwinbox.  Exceptions require approval from subhash.menon@angelbroking.com.","If you have questions or need guidance about this policy, you can contact:

- Your Line manager or Skip Manager
- HR Business Partner
- People Relations team"
oldnewregime.txt,1,What is the purpose of this policy document?,"This document outlines the new and old income tax regimes, detailing tax slabs, benefits, exemptions, and deductions.  It aims to clarify the differences between the two regimes to help individuals and employees choose the most beneficial option.","The policies provided cover several different topics, each with its own purpose. To provide you with the correct information, could you please specify which policy you are interested in?"
oldnewregime.txt,2,What are the key differences between the New and Old Tax Regimes?,"The New Regime offers lower tax rates but fewer exemptions and deductions, while the Old Regime maintains existing rates but allows for various deductions under sections 80C, 80D, etc. The New Regime is generally more beneficial for lower to mid-range incomes, while the Old Regime may be better for higher incomes with significant eligible deductions.","The key differences between the New and Old Tax Regimes are:

-   *Suitability by Income:* The New Tax Regime is generally more suitable for individuals with income up to ₹12 lakhs, offering lower income tax rates and more slabs. The Old Tax Regime makes sense for those with income up to ₹5 lakhs, with fewer tax slabs.
-   *Exemptions and Deductions:*
    -   The New Tax Regime generally *does not allow* benefits from most Exemptions (Reimbursements) and Deductions (Investments), with exceptions like Deduction u/s 80CCD(2) (Employer’s NPS) up to 14% of Basic, Perquisite for Official Purpose, and a Standard Deduction of ₹75,000.
    -   The Old Tax Regime *allows* employees to benefit from various Exemptions (Flexi Reimbursement) and Deductions (Investments) under sections like 80C, 80D, 80G, and allows a Standard Deduction of ₹50,000.
-   *Rebate u/s 87A:*
    -   New Regime: Rebate up to ₹60,000 for total income not exceeding ₹12,00,000.
    -   Old Regime: Rebate up to ₹12,500 for total income not exceeding ₹5,00,000."
oldnewregime.txt,3,What are the tax slabs under the New Tax Regime?,"Under the New Regime, tax slabs are: 0% up to ₹4 Lakhs; 5% for ₹4-8 Lakhs; 10% for ₹8-12 Lakhs; 15% for ₹12-16 Lakhs; 20% for ₹16-20 Lakhs; 25% for ₹20-24 Lakhs; and 30% for ₹24 Lakhs and above.","Under the New Tax Regime, the income tax slabs are as follows:

-   *UP TO 4 LAKHS*: NIL
-   *4 LAKHS TO 8 LAKHS*: 5%
-   *8 LAKHS TO 12 LAKHS*: 10%
-   *12 LAKHS TO 16 LAKHS*: 15%
-   *16 LAKHS TO 20 LAKHS*: 20%
-   *20 LAKH TO 24 LAKHS*: 25%
-   *24 LAKHS+*: 30%"
oldnewregime.txt,4,What are the tax slabs under the Old Tax Regime?,"Under the Old Regime, tax slabs are: 0% up to ₹2.5 Lakhs; 5% (with complete rebate) for ₹2.5-5 Lakhs; 20% for ₹5-10 Lakhs; and 30% for ₹10 Lakhs and above.","Under the Old Tax Regime, the tax slabs are as follows:

- *UP TO 2.5 LAKHS*: NIL
- *2.5 LAKHS TO 5 LAKHS*: 5% (with Complete Rebate)
- *5 LAKHS TO 10 LAKHS*: 20%
- *10 LAKHS+*: 30%

Additionally, a standard deduction of Rs. 50,000 is available. A Rebate u/s 87A applies for resident individuals whose Total Income is not more than Rs. 5,00,000, offering up to 100% of income tax or Rs. 12,500, whichever is less. An Education cess of 4% is also applicable."
oldnewregime.txt,5,What is the rebate under section 87A for each regime?,"In the New Regime, a rebate up to 100% of income tax or ₹60,000 (whichever is less) is available for total income up to ₹12 Lakhs. In the Old Regime, it's up to 100% of income tax or ₹12,500 (whichever is less) for total income up to ₹5 Lakhs.","Under the New Tax Regime, a resident individual with a Total Income not exceeding Rs. 12,00,000/- is eligible for a Rebate u/s 87A of up to 100% of income tax or Rs. 60,000, whichever is less.

Under the Old Tax Regime, a resident individual with a Total Income not exceeding Rs. 5,00,000/- is eligible for a Rebate u/s 87A of up to 100% of income tax or Rs. 12,500, whichever is less."
oldnewregime.txt,6,What is the surcharge applicable under both regimes?,"The surcharge is applicable on income above ₹50 Lakhs, with rates varying from 10% to 37% (reduced to 25% for ₹5 Crores and above) depending on the income bracket.  The rates are identical in both regimes.","The surcharge applicable under both tax regimes is as follows:

*   *New Regime*
    - 10% for income ranging from ₹50 Lakhs to ₹1 crore
    - 15% for income ranging from ₹1 crore to ₹2 crore
    - 25% for income ranging from ₹2 crores to ₹5 crore
    - 37% (reduced to 25%) for income of ₹5 crores & above

*   *Old Regime*
    - 10% for income ranging from ₹50 Lakh to ₹1 crore
    - 15% for income ranging from ₹1 crore to ₹2 crore
    - 25% for income ranging from ₹2 crore to ₹5 crore
    - 37% for income of ₹5 crore & above"
oldnewregime.txt,7,What is the education cess?,A 4% education cess is applicable on the total tax payable under both regimes.,The policies do not mention specific information about education cess. I'm unable to provide details on this particular question.
oldnewregime.txt,8,What are the standard deductions available?,"The Old Regime offers a standard deduction of ₹50,000. The New Regime offers a standard deduction of ₹75,000.","The policies outline various tax-saving flexible benefit components available to employees. For those in Grade M1, M2, and T1, the following monthly limits apply:

- Fuel, Vehicle Maintenance & Driver (Only for Employees opted for Car Lease): ₹50,000
- Books & Periodicals: ₹5,000
- Professional Development Assistance: ₹25,000
- Use of Movable Assets: ₹20,000
- Mobile Handset Reimbursement: ₹15,000
- Health and Other Club Facilities: ₹10,000
- Sodexo Meal Allowance: ₹2,500
- Leave Travel Allowance: ₹8,333
- Telephone Allowance: ₹2,500

The overall Monthly Exemption limits for these grades are:
- With car lease: ₹1,38,333
- Without car lease: ₹88,333

These exemptions are considered in the monthly salary by default based on grade applicability. Employees can opt out of any particular flexi component by writing to payrollsupport@angelbroking.com."
oldnewregime.txt,9,What exemptions are available under the Old Regime's flexible benefit plan?,"Exemptions vary by employee grade and include allowances for fuel, vehicle maintenance, books, professional development, movable assets, mobile handsets, club facilities, Sodexo meal allowances, leave travel allowance, and telephone allowance.  Specific amounts are detailed in the document for each grade.","Under the Old Regime's flexible benefit plan, the following exemptions are available:

- Fuel, Vehicle Maintenance & Driver (only for employees opted for Car Lease)
- Books & Periodicals
- Professional Development Assistance
- Use of Movable Assets
- Mobile Handset
- Health and Other Club Facilities
- Sodexo Meal Allowance (also referred to as Pluxee Meal Allowance)
- Leave Travel Allowance
- Telephone Allowance

Additionally, the Old Regime provides a Standard Deduction benefit of ₹50,000. Employees can also avail of various Deductions under sections like 80C, 80CCC, 80CCD (including up to 10% of Basic Salary for National Pension Scheme), 80D, and others."
oldnewregime.txt,10,Can I claim exemptions under the New Regime?,"Generally, no. The New Regime does not allow most exemptions.  The only notable exception is the increased deduction under section 80CCD(2) for employer's NPS contribution (up to 14% of basic salary).","Under the New Tax Regime, employees generally *cannot* claim the benefit of Exemptions (Reimbursement) and Deductions (Investments).

However, there are specific exceptions where benefits can be claimed:

- Deduction u/s 80CCD(2) (Employer’s NPS) increased to 14% from 10% of Basic.
- Perquisite for Official Purpose.
- Retirement Benefits, which include:
    - Voluntary Retirement Section 10(10C)
    - Leave Encashment Section 10(10AA)
    - Gratuity Section 10(10)
- Gifts From Employer – Up to Rs. 5,000.
- Interest on Home Loan Section 24 – For let out property only.
- Standard Deduction benefit of Rs. 75,000."
oldnewregime.txt,11,What deductions are allowed under the Old Regime?,"The Old Regime allows deductions under various sections including 80C, 80CCC, 80CCD (up to 10% of basic salary), 80D, 80DD, 80DDB, 80U, 80G, 80GGA, 80GGC, 24, 80E, 80EE, 80EEA, 80GG, 80CCG, and 80TTA/B.","Under the Old Regime, employees can benefit from various deductions. These include:

- A *Standard Deduction* of ₹50,000.
- *Tax Saving Sections* covering:
    - Investments and Expenditure (Section 80C / 80CCC / 80CCD)
    - Dependents Health and Well Being (Section 80D / 80DD / 80DDB / 80U)
    - Donations (Section 80G / 80GGA / 80GGC)
    - Loans (Section 24 / 80E / 80EE / 80EEA)
    - Others (Section 80GG / 80CCG / 80TTA/B)
- *National Pension Scheme (NPS)* investment up to 10% of Basic Salary, which is eligible for tax deduction under Section 80CCD(2) of the Income Tax Act, 1961."
oldnewregime.txt,12,How do I avail the Pluxee (Sodexo) meal coupon benefit?,"To avail this benefit, employees need to send an email to mahesh.lad@angelone.in and vini.tiwari@angelone.in. From June 1st, 2025, selection will be through the Payroll tab.","To avail the Pluxee (Sodexo) Meal Coupon benefit, you need to:

- Send an email to mahesh.lad@angelone.in and vini.tiwari@angelone.in.
- From June 1, 2025, you will need to select this benefit on the *Payroll* tab.

You can transfer up to ₹2,500 with this benefit."
oldnewregime.txt,13,What are the rules regarding NPS investment under both regimes?,"Employees can invest up to 10% of their basic salary under the Old Regime and 14% under the New Regime.  This investment is eligible for tax deduction u/s 80CCD(2), with an upper limit of ₹7.5 Lakhs for tax benefits.","Under both the Old and New tax regimes, employees can invest in the National Pension Scheme (NPS).

Here are the rules:
- *Old Regime*: Employees can invest up to 10% of their Basic Salary.
- *New Tax Regime*: Employees can invest up to 14% of their Basic Salary.

This investment is eligible for a tax deduction u/s 80CCD(2) of the Income Tax Act, 1961. The upper limit for the tax benefit is Rs. 7.5 lakh."
oldnewregime.txt,14,Which regime is better for me?,"The optimal regime depends on your individual income and the amount of eligible deductions you can claim under the Old Regime.  For lower to mid-range incomes, the New Regime might be simpler and more beneficial.  For higher incomes with significant eligible deductions, the Old Regime might be advantageous.  You should perform a detailed calculation based on your specific circumstances.","To determine which tax regime is better for you, it's essential to consider your specific financial situation, including your annual income and whether you plan to utilize certain exemptions and deductions.

The policies state:
- The *Old Tax Regime* generally makes sense for those with income up to ₹5 lakhs, allowing benefits from Exemptions (Flexi Reimbursement) and Deductions (Investments). It also includes a Standard Deduction of ₹50,000.
- The *New Tax Regime* generally makes sense for those with income up to ₹12 lakhs, offering lower income tax rates and more slabs but generally disallowing most Exemptions and Deductions, with a few exceptions like Employer’s NPS (u/s 80CCD(2)) and a Standard Deduction of ₹75,000.

Could you please provide your annual gross income and indicate if you plan to make investments or claim other exemptions like HRA, LTA, or specific allowances? This information will help in guiding you toward the more beneficial regime."
oldnewregime.txt,15,What are the retirement benefits included in the New Regime?,"The New Regime includes retirement benefits such as Voluntary Retirement (Section 10(10C)), Leave Encashment (Section 10(10AA)), and Gratuity (Section 10(10)).","The retirement benefits included in the New Tax Regime are:

- Voluntary Retirement Section 10(10C)
- Leave Encashment Section 10(10AA)
- Gratuity Section 10(10)"
oldnewregime.txt,16,What is the limit for gifts from employers under the New Regime?,"Gifts from employers are tax-exempt up to ₹5,000 under the New Regime.","The policies do not mention specific information about a ""New Regime"" or a specific monetary limit for gifts received directly from employers.

The policy defines a *Gift* as anything of value less than India Rupees 1000, but this is a general definition within the policy, not a specific limit on gifts from employers. If an employee is presented with a gift that surpasses the nominal amount specified in the policy, they should consult their Line Manager or HR Business Partner (HRBP) and obtain approval from the respective CXO of the Business."
oldnewregime.txt,17,What are the rules regarding interest on home loans under both regimes?,"Under the New Regime, interest on home loans is deductible only for let-out properties (Section 24). The Old Regime may offer more flexibility depending on other deductions claimed.","Under the New Tax Regime, interest on a Home Loan under Section 24 is permissible only for *let out property*.

The policies do not mention specific information about the rules for interest on home loans under the Old Tax Regime."
