File,FAQ_Number,Question,Answer
Angel Broking Employee Long Term Incentive.txt,6,"What is the vesting period for Stock Options, RSUs, and PSUs?","The vesting period is generally up to 4 years for Options and RSUs, and up to 3 years for PSUs.  The minimum vesting period for all three is 12 months. The vesting schedule and criteria may vary as determined by the administrator, potentially including performance objectives."
Angel Broking Employee Long Term Incentive.txt,7,What is the exercise period for each award type?,"The exercise period is generally 10 years for Options and 6 months for RSUs and PSUs after vesting.  However, none can be exercised before 12 months from the grant date.  The administrator may modify these periods."
Angel Broking Employee Long Term Incentive.txt,8,What happens to unvested awards upon termination of employment?,"Unvested awards typically lapse upon termination, except in cases of death or permanent incapacity, where they may vest according to SEBI regulations.  Termination 'with cause' or abandonment also results in the lapse of both vested and unvested awards, unless the Board/Committee decides otherwise."
Angel Broking Employee Long Term Incentive.txt,9,How are shares allotted after exercising vested awards?,Participants must submit an exercise request and pay the applicable amount (exercise price and taxes). Allotment happens after the administrator receives the request and confirms payment. Shares are allotted within the time frame prescribed by applicable law.
Angel Broking Employee Long Term Incentive.txt,10,What are the consequences of failing to exercise vested awards within the specified time?,"Failure to exercise vested awards within the specified time leads to automatic lapse of the awards, without any compensation."
Angel Broking Employee Long Term Incentive.txt,11,What is the role of the Nomination and Remuneration Committee?,"The committee administers the plan, interprets its terms, establishes rules and regulations, selects eligible employees, approves grants, determines award terms, handles corporate actions, and resolves disputes relating to the plan."
Angel Broking Employee Long Term Incentive.txt,12,What are the tax implications of this plan?,"All awards are subject to applicable taxes and levies, which the company may withhold unless the Board/Committee decides otherwise.  Taxes are payable upon exercise of the awards."
Angel Broking Employee Long Term Incentive.txt,13,Can LTI Awards be transferred?,"No, LTI Awards are generally non-transferable except in the case of death, as specified in the plan, and as permitted by law."
Angel Broking Employee Long Term Incentive.txt,14,"How does the plan handle corporate actions (e.g., mergers, stock splits)?",The Board/Committee will make adjustments to the number of award units and/or the exercise price to maintain the overall value of the awards after a corporate action. The vesting period and life of the awards remain unchanged unless altered at the administrator's discretion.
Angel Broking Employee Long Term Incentive.txt,15,What is the process for resolving disputes?,"Disputes are first attempted to be resolved amicably. If unsuccessful, either party can refer the dispute to arbitration under the Arbitration and Conciliation Act, 1996, in Mumbai."
Angel Broking Employee Long Term Incentive.txt,16,What happens if a provision of the plan is deemed invalid?,"If a provision is invalid, the remaining provisions remain in full force and effect to the extent permitted by applicable law."
Angel Broking Employee Long Term Incentive.txt,17,What is the confidentiality clause of this plan?,"Participants must maintain confidentiality regarding the plan and their holdings, except as required by law. Breach of confidentiality may result in the termination of the grant."
Angel Broking Employee Long Term Incentive.txt,18,How long does the plan remain in effect?,The plan continues until terminated by the company or the Board/Committee. Termination does not affect already granted awards unless otherwise mutually agreed.
Angel Broking Employee Long Term Incentive.txt,19,What are the consequences of violating the insider trading regulations or code of conduct?,Violation may result in cancellation of all vested and unvested awards and disciplinary action by the company.
Angel Broking Employee Long Term Incentive.txt,20,Does participation in the plan guarantee any return on shares?,"No, the company does not guarantee any return on shares or award units; participation is entirely voluntary."
Angel Care+ AOL.txt,1,What is the purpose of the Angel Care+ Group Mediclaim policy?,"Angel Care+ provides comprehensive medical benefits to Angel One employees and their eligible dependents, covering various aspects of healthcare from routine check-ups to specialized treatments."
Angel Care+ AOL.txt,2,Who is covered under the Angel Care+ Group Mediclaim policy?,All active Angel One employees are covered from their first day.  Coverage extends to their spouse/partner and up to two dependent children under 25.  Spouse/partner and newborn coverage begins on the event date if information is updated within 30 days.
Angel Care+ AOL.txt,3,What is the insurance provider and policy number for the Group Mediclaim?,The insurance provider is Care Health Insurance. The Group Mediclaim Policy number is 50436012.
Angel Care+ AOL.txt,4,What is the age limit for coverage under the Group Mediclaim?,"Children are covered up to age 25, while employees and spouses are covered up to age 80."
Angel Care+ AOL.txt,5,Does the Group Mediclaim cover pre-existing conditions?,"Yes, the policy covers pre-existing conditions for both current and new employees. There is no waiting period for pre-existing conditions for existing and new members."
Angel Care+ AOL.txt,6,Is there a co-pay or waiting period for the Group Mediclaim?,"No, there is no co-pay or waiting period for the Group Mediclaim."
Angel Care+ AOL.txt,7,How do I access my Angel Care+ policy details?,Access your policy details through Darwin box >> Angel Care+ >> Enter your official email ID as the username >> Click on Next.
Angel Care+ AOL.txt,8,What are the different sum assured amounts and premiums for the Group Mediclaim?,Sum assured and premiums vary based on employee grade.  Refer to the policy document's 'Sum assured & Premium benefits' section for detailed information.
Angel Care+ AOL.txt,9,What types of treatments are covered under the Group Mediclaim?,"The policy covers inpatient care, daycare treatments, pre- and post-hospitalization expenses, fertility treatments, LGBTQ+ partner coverage, widow/widower care, bereavement care, gender reaffirmation surgery, surrogacy, well-baby expenses, AYUSH treatments, and various OPD benefits (consultations, diagnostics, dental, pharmacy, vision, minor procedures)."
Angel Care+ AOL.txt,10,What is the process for filing a claim under the Group Mediclaim?,Refer to the policy document's 'Navigation guide and claim process' section for detailed instructions.  Note the different processes for cashless and reimbursement claims. Time limits for claim intimation and document submission are specified.
Angel Care+ AOL.txt,11,"What are the Angel Care+ Flexi Plans, and how do they work?",Flexi plans offer optional add-on benefits to enhance your existing coverage. You can choose one or more add-ons at an additional cost to customize your coverage.
Angel Care+ AOL.txt,12,What are the benefits included in the Family Care Plan?,"The Family Care Plan offers enhanced maternity benefits, well-mother expenses, pre/post-natal OPD coverage, increased infertility treatment coverage, egg freezing coverage, PCOD/PCOS treatment, planned sterility coverage, and physiotherapy."
Angel Care+ AOL.txt,13,What does the Child Care Plan cover?,"The Child Care Plan covers special needs care (ST, OT, ABA), well-baby expenses, vaccinations, differently-abled children, and OPD treatment for genetic disorders."
Angel Care+ AOL.txt,14,What are the key features of the Attention Care Plan?,"The Attention Care Plan provides preventive cancer screenings, expanded modern treatment coverage, annual health checkups, reimbursement for durable medical equipment, biopsy evaluation coverage, cervical cancer vaccination, peritoneal dialysis coverage and physiotherapy."
Angel Care+ AOL.txt,15,What is the purpose of the Angel Care+ Top-Up Policy?,The Top-Up Policy allows employees to increase their medical coverage limit up to 100% of the company-provided coverage.
Angel Care+ AOL.txt,16,What additional benefits are offered by the Top-Up Policy?,The Top-Up Policy provides additional maternity coverage and enhanced coverage for mental wellbeing and fertility.
Angel Care+ AOL.txt,17,What is the Angel Care+ Group Parental Policy?,This policy outlines the medical benefits for an employee's parents or parents-in-law.
Angel Care+ AOL.txt,18,What are the age limits and coverage details for the Group Parental Policy?,Parents/parents-in-law are covered up to age 90.  Sum assured and premiums vary by employee grade. See the policy document for details.
Angel Care+ AOL.txt,19,What are the procedures for non-cashless claims?,"Non-cashless claim intimation must be done within 7 days of admission, and documents submitted within 45 days of discharge (105 days for post-hospitalization)."
Angel Care+ AOL.txt,20,Who should I contact for questions or clarifications regarding the Angel Care+ policies?,"Contact Akanksha Sharma (akanksha.Sharma@angelone.in) or Rakshatha Shetty (rakshatha.shetty@angelone.in) for policy questions. For claims, contact the Care Health Insurance team at prabasini.d@careinsurance.com or 7506374868/9821437884."
Angel One Internal Career Mobility.txt,1,What is the objective of Angel One's Internal Career Mobility Policy?,"The policy aims to simplify career growth within Angel One by providing a fair and meritocratic process for employees to move between roles and teams, aligning individual talents with organizational opportunities."
Angel One Internal Career Mobility.txt,2,What are the two ways I can initiate an internal career move?,You can either apply for an internally posted job or be selected for an organization-initiated transfer.
Angel One Internal Career Mobility.txt,3,How does the organization-initiated transfer process work?,"Your HRBP initiates the process, discusses the new role with you, and issues an HR letter if applicable."
Angel One Internal Career Mobility.txt,4,How does the internal job posting process work?,Recruitment partners manage the process.  You apply if you see an opportunity that interests you and meet the criteria.
Angel One Internal Career Mobility.txt,5,What are the eligibility requirements for applying to internal job postings?,"You must have been with Angel One for at least a year in your current role, maintain consistent performance, meet job posting requirements, and not be under probation, in a PEP, or have recent disciplinary actions."
Angel One Internal Career Mobility.txt,6,What happens if I don't meet the eligibility criteria?,"You will be ineligible to apply until you meet the criteria, which includes having a performance rating of 'ME' or higher, and no recent disciplinary actions or warnings."
Angel One Internal Career Mobility.txt,7,How long do I have to apply for an internal job posting?,You have 5 business days to submit your application from the time you receive the email.
Angel One Internal Career Mobility.txt,8,What is the application process for internal job postings?,"You apply via the link in the email, uploading your latest resume.  Inform your current manager before applying.  Use your work email and only apply through official channels."
Angel One Internal Career Mobility.txt,9,How many times can I apply for internal positions within a year?,You have three opportunities to apply for internal moves within a 12-month period.
Angel One Internal Career Mobility.txt,10,What is the selection process for internal moves?,"The process involves a screening stage reviewing your work history, Angel One values alignment, and disciplinary record, followed by interviews, assessments, and potentially reference checks."
Angel One Internal Career Mobility.txt,11,What happens after I'm selected for a new role?,"Your current and new managers will agree on a start date, which won't exceed your standard notice period. The recruitment partner will provide details about your new role and responsibilities."
Angel One Internal Career Mobility.txt,12,What if I don't get selected for a position I applied for?,Don't be discouraged; you still have the opportunity to apply for other internal positions within the allotted application limit.
Angel One Internal Career Mobility.txt,13,Can the company withdraw this policy?,"Yes, Angel One reserves the right to withdraw the policy at its sole discretion without prior notice."
Angel One Internal Career Mobility.txt,14,"What if I'm an intern, on probation, or a contract employee? Can I apply?","No, interns, employees on probation, and contract employees are not eligible to apply for internal positions."
Angel One Internal Career Mobility.txt,15,What if I recently received a promotion or transferred within the last year?,You are not eligible to apply for another internal position for one year after your promotion or transfer.
Angel One Internal Career Mobility.txt,16,What if I have attendance or conduct warnings in the past 6 months?,You are ineligible to apply. Focus on improving your record before applying.
Angel One Internal Career Mobility.txt,17,Who is responsible for managing the organization-initiated transfers?,Your respective HR Business Partner (HRBP) is responsible for managing organization-initiated transfers.
Angel One Internal Career Mobility.txt,18,Who is responsible for managing internal job postings?,The respective Recruitment Partners handling the hiring for that specific role manage the process for internal job postings.
Angel One Internal Career Mobility.txt,19,Are there any penalties for applying late or through unofficial channels?,Late applications will not be considered.  Applying through unofficial channels will also disqualify your application.
Angel One Internal Career Mobility.txt,20,What information will be reviewed during the screening stage of the selection process?,"The screening stage reviews your work performance, alignment with Angel One's values, and disciplinary history."
Angel One Travel Reimbursement Policy.txt,1,Which employees are covered by this travel reimbursement policy?,"This policy applies to all full-time Angel One employees in roles requiring travel, excluding front-line business roles."
Angel One Travel Reimbursement Policy.txt,2,What types of travel are covered under this policy?,The policy covers both domestic (within India) and international business travel.
Angel One Travel Reimbursement Policy.txt,3,What domestic travel expenses are reimbursed?,"Reimbursable expenses include airfare, train or bus travel for business purposes, airport/station transfers, hotel stays (within specified limits), and meals (within specified limits) for official business travel.  See the detailed tables for limits by grade."
Angel One Travel Reimbursement Policy.txt,4,What domestic travel expenses are NOT reimbursed?,"Non-reimbursable expenses include travel to/from the office when voluntarily working remotely, team offsites/gatherings, review meetings not hosted by CXOs/CEO/CFO, daily commute within the base location, expenses related to employee contests/rewards, and travel for front-line roles if part of the job description. Personal expenses like tips and additional baggage fees are also not reimbursed."
Angel One Travel Reimbursement Policy.txt,5,How far in advance should I request travel approval?,"For domestic travel, requests should be submitted at least 7 days in advance. For international travel, 15 days' advance notice is required."
Angel One Travel Reimbursement Policy.txt,6,How do I book my travel?,"Domestic travel (except for CXOs and certain higher-grade employees for travel over 600km) should be booked through the Paxes Online Travel Portal in Darwin Box. CXOs' bookings are handled by their EAs. For bulk bookings or specific situations, offline approval processes are in place."
Angel One Travel Reimbursement Policy.txt,7,What are the rules regarding hotel stays?,"Hotel stay allowances vary by grade and location (Bangalore/Mumbai, other metros, non-metros). Maximum limits are specified in the policy. Occupancy is single for higher grades, double for others.  Additional amenities are not covered."
Angel One Travel Reimbursement Policy.txt,8,What is the daily meal allowance?,"The daily meal allowance varies by grade, with higher grades receiving a higher allowance or actuals. Team lunches/dinners are not covered under this policy, but may be eligible under the Staff Welfare Budget Policy."
Angel One Travel Reimbursement Policy.txt,9,What are the rules for using my own vehicle for local travel?,"Reimbursement for using your own vehicle is allowed, with rates of Rs. 18/km for four-wheelers and Rs. 8/km for two-wheelers (plus tolls and parking).  Only specified grades are eligible for four-wheeler reimbursement."
Angel One Travel Reimbursement Policy.txt,10,What is the process for claiming travel reimbursements?,Submit claims through Darwin Box under 'Spend Management' -> 'Expense Management' -> 'Employee Reimbursement'. Attach all necessary bills and receipts.
Angel One Travel Reimbursement Policy.txt,11,What are the rules for international travel?,"International travel requires pre-approval from the relevant CXO. Allowances vary based on flight duration and grade.  Visa fees, health insurance, mobile roaming, and SIM cards (up to 1.5GB/day) are covered."
Angel One Travel Reimbursement Policy.txt,12,What happens if I cancel my trip due to personal reasons?,You are responsible for any cancellation penalties or extra charges incurred due to personal reasons.
Angel One Travel Reimbursement Policy.txt,13,Can I extend my business trip for personal reasons?,"No, unless approved by the company, you cannot extend your stay or travel arrangements for personal reasons. Any additional costs will not be covered."
Angel One Travel Reimbursement Policy.txt,14,What is the policy on family members traveling on business trips?,The company does not cover travel expenses for family members accompanying employees on business trips.
Angel One Travel Reimbursement Policy.txt,15,Are there any penalties for non-compliance with this policy?,Expenses charged to the company credit card outside of this policy will be deducted from your salary.
Angel One Travel Reimbursement Policy.txt,16,What is the deadline for submitting reimbursement claims?,Claims must be submitted within 30 days of completing your trip.
Angel One Travel Reimbursement Policy.txt,17,What if my travel request is not approved?,"If your travel request is not approved by your manager (or CXO for international travel), your booking will not be covered under this policy."
Angel One Travel Reimbursement Policy.txt,18,What modes of transportation are reimbursable?,"Reimbursable transportation includes cabs, taxis, auto-rickshaws (with bills), public transport (with tickets).  Personal vehicle use is not reimbursable."
Angel One Travel Reimbursement Policy.txt,19,What are the grade-based travel class rules for domestic flights?,"For trips over 600km, Manager and below travel economy class (subject to manager approval).  Higher grades may have premium economy or business class eligibility based on flight duration.  See the specific tables for details."
Angel One Travel Reimbursement Policy.txt,20,Where can I find the most up-to-date version of this policy?,This policy was last reviewed on 23-12-2024.  Refer to the current version available through internal company channels.
Attendance Policy Others.txt,1,What is the purpose of this attendance policy?,"This policy outlines clear guidelines for recording employee attendance at Angel One Limited, ensuring a comprehensive framework for tracking attendance and shift rosters.  It applies to all employees except those covered by the Sales employee attendance policy."
Attendance Policy Others.txt,2,How is my attendance tracked?,"Attendance is tracked through the company's HRMS system, Darwinbox, accessible via web application or mobile app.  Clocking in and out is mandatory."
Attendance Policy Others.txt,3,Is clocking in and out mandatory?,"Yes, it's mandatory to clock in and out daily in Darwinbox to confirm your presence according to your assigned shift."
Attendance Policy Others.txt,4,"Where can I find my attendance policy, shift, and weekly off information?",This information is available on the 'Attendance' page within the Darwinbox HRMS system.
Attendance Policy Others.txt,5,How often can my shift or weekly off roster change?,"For most departments, the roster is updated at the beginning of each month and applies for the entire month.  However, some departments (like Tele-Sales or Customer Service) may have more frequent changes based on business needs, as determined by your Reporting Manager."
Attendance Policy Others.txt,6,When will I be marked as absent?,You will be marked absent if you fail to clock in and out according to the policy.
Attendance Policy Others.txt,7,How do I regularize my attendance if I miss clocking in or out?,You can regularize your attendance through the 'Attendance' tab in the Darwinbox HRMS system (web or mobile app).
Attendance Policy Others.txt,8,What is the deadline for submitting and approving leave or attendance regularizations?,All leave and attendance regularization requests must be submitted by employees and approved by their Reporting Managers by the 20th of each month.
Attendance Policy Others.txt,9,What happens if my leave or regularization request is approved after the 20th?,Requests approved after the 20th but before the 21st of the following month will be paid as arrears in the next payroll cycle.
Attendance Policy Others.txt,10,Can I submit backlog attendance regularizations?,"Yes, but only for a maximum of 60 days.  Requests older than 60 days cannot be submitted and will result in loss of pay."
Attendance Policy Others.txt,11,What are the consequences of frequent attendance irregularities or unauthorized absences?,Frequent issues or unauthorized absences may result in disciplinary action as per company policy.
Attendance Policy Others.txt,12,What happens if I use attendance regularization instead of annual leave?,Strict disciplinary action will be taken if you attempt to use attendance regularization instead of applying for annual leave.
Attendance Policy Others.txt,13,Who should I contact if I have questions about this policy?,"For clarifications, contact rakshatha.shetty@angelbroking.com or aditya.dujari@angelbroking.com.  Exceptions to the policy require approval from subhash.menon@angelbroking.com."
Attendance Policy Others.txt,14,Who is responsible for interpreting this policy?,The functional policy owners are responsible for interpreting the policy provisions.
Attendance Policy Others.txt,15,Can this policy be changed?,"Yes, this policy is subject to change at any time by Angel One. The company's decision will be final and binding."
Attendance Policy Others.txt,16,What is the document ID for this policy?,The document ID is 1.0
Attendance Policy Others.txt,17,Who owns this policy?,HR Operations
Attendance Policy Others.txt,18,When was this policy last reviewed and approved?,Approved on 01.05.2024 and in effect from 01.04.2024. The next review date is 31.03.2025.
Attendance Policy Others.txt,19,What is the process for requesting an exception to this policy?,Exceptions require approval from subhash.menon@angelbroking.com.
Attendance Policy Others.txt,20,To whom does this policy apply?,"This policy applies to all employees of Angel One Limited, excluding those covered under the separate Attendance policy for Sales employees."
Attendance Policy Tech and Product.txt,1,What is the purpose of this attendance policy?,This policy outlines how attendance is recorded for Technology & Product department employees at AngelOne and provides relevant information regarding attendance expectations.
Attendance Policy Tech and Product.txt,2,Who does this policy apply to?,This policy applies to all full-time employees in the Technology & Product departments.
Attendance Policy Tech and Product.txt,3,Do I need to clock in or out using Angela or Darwinbox?,"No, the company has eliminated the need for traditional time clocking systems.  Focus is on results and goal achievement."
Attendance Policy Tech and Product.txt,4,How is my attendance tracked?,Your attendance is tracked based on your daily activity on Slack.
Attendance Policy Tech and Product.txt,5,Do I need to manually mark my attendance on Slack?,"No, your activity on Slack automatically contributes to your attendance record."
Attendance Policy Tech and Product.txt,6,What are the 'Golden Hours of Collaboration'?,"The Golden Hours are from 10:30 am IST to 5:00 pm IST.  Employees are expected to be readily available for communication and collaboration during this time via calls, email, Slack, Jira, and Confluence."
Attendance Policy Tech and Product.txt,7,What are the defined working hours?,"While availability during the Golden Hours (10:30 am to 5:00 pm IST) is mandatory,  flexible hours outside these times are allowed, prioritizing outcome and goal achievement."
Attendance Policy Tech and Product.txt,8,What happens if I am consistently unavailable during the Golden Hours?,"Your manager should be contacted to address any concerns.  Consistent unavailability without prior notification or leave application will result in disciplinary action, potentially involving your HRBP."
Attendance Policy Tech and Product.txt,9,When is it appropriate to contact a colleague or manager?,"During the Golden Hours (10:30 am to 5:00 pm IST) is generally the best time. For meetings outside these hours, mutual agreement on a convenient time is required."
Attendance Policy Tech and Product.txt,10,How is attendance handled when I am on leave?,You must apply for leave in advance through the HRMS (Darwinbox) and inform your manager.  Unauthorized absences or consistent unexplained absences will result in disciplinary action.
Attendance Policy Tech and Product.txt,11,Do I need to apply for leave?,"Yes, applying for and obtaining approval for leave via Darwinbox is mandatory.  Failure to do so may result in disciplinary action."
Attendance Policy Tech and Product.txt,12,Who should I contact if I have questions about this policy?,Contact Aditya Dujari (aditya.dujari@angelbroking.com) or Rakshatha Shetty (rakshatha.shetty@angelbroking.com) for clarification.
Attendance Policy Tech and Product.txt,13,Who is responsible for interpreting this policy?,The functional policy owners are responsible for interpreting the policy provisions.
Attendance Policy Tech and Product.txt,14,How can exceptions to this policy be approved?,Exceptions require approval from Subhash Menon (subhash.menon@angelbroking.com).
Attendance Policy Tech and Product.txt,15,Can this policy be changed?,"Yes, this policy is subject to change.  Any amendments will be communicated in writing."
Attendance Policy Tech and Product.txt,16,What is the document ID for this policy?,The document ID is 01.
Attendance Policy Tech and Product.txt,17,Who owns this policy?,HR Operations owns this policy.
Attendance Policy Tech and Product.txt,18,When was this policy last reviewed?,The last review date was 01.10.2021; the next review is 31.03.2025.
Attendance Policy Tech and Product.txt,19,What are the potential consequences of violating this policy?,"Disciplinary action may result from consistent unavailability during working hours, unauthorized absences, or failure to apply for leave."
Attendance Policy Tech and Product.txt,20,Is the company's decision regarding this policy final?,"Yes, the company's decision is final and binding."
Bereavement Policy.txt,1,What is the purpose of Angel Broking's Bereavement Policy?,"The policy provides uniform guidelines for granting time off to employees dealing with the death of an immediate family member, allowing them time to grieve and manage related matters."
Bereavement Policy.txt,2,Who does this Bereavement Policy apply to?,"This policy applies to all employees of Angel Broking, including temporary staff."
Bereavement Policy.txt,3,What constitutes an 'immediate family member' under this policy?,"The policy does not explicitly define 'immediate family member'.  Clarification should be sought from HR to ensure consistent application.  It's likely to include parents, children, siblings, and spouse/partner."
Bereavement Policy.txt,4,How much bereavement leave am I entitled to?,"The policy doesn't specify a fixed number of days.  It states that leave will normally be granted unless there are unusual business needs, and acknowledges that the required time varies depending on individual circumstances."
Bereavement Policy.txt,5,What is the procedure for requesting bereavement leave?,"Notify your supervisor immediately and keep HR in the loop.  Ideally, notify them before your absence, but requests will be considered even if made after the first day in exceptional circumstances."
Bereavement Policy.txt,6,Is bereavement leave paid or unpaid?,An employee may use either unpaid leave or their accrued annual leave.
Bereavement Policy.txt,7,What if my immediate family member's death requires me to travel outside the country?,"While not explicitly addressed, this should be discussed with your supervisor and HR.  They will work with you to determine a reasonable arrangement."
Bereavement Policy.txt,8,What happens after I notify my supervisor of the bereavement?,"A company representative, ideally from your team, will visit your residence to offer condolences and deliver a formal condolence letter."
Bereavement Policy.txt,9,What if my supervisor refuses to grant me bereavement leave?,This should be escalated to HR immediately.  The policy states that leave will normally be granted unless there are unusual business needs.  HR will mediate.
Bereavement Policy.txt,10,What if my work performance is affected by my bereavement?,Discuss your concerns with your line manager or HR to explore reasonable adjustments and support.
Bereavement Policy.txt,11,Can my bereavement leave be denied?,"While the policy aims to be supportive, leave may be denied in exceptional circumstances where there are significant and unavoidable business needs or critical staffing requirements.  This decision must be justified and communicated transparently."
Bereavement Policy.txt,12,Are there any penalties for misusing the bereavement policy?,"The policy does not explicitly mention penalties. However, misrepresentation or abuse of the policy may be subject to disciplinary action as per the company's overall disciplinary procedure."
Bereavement Policy.txt,13,What if I need additional time off beyond what initially seems necessary?,Discuss this with your supervisor and HR.  They can work with you to assess your needs and develop an appropriate plan.
Bereavement Policy.txt,14,Does this policy cover the death of extended family members?,"No, this policy specifically covers immediate family members.  Requests for leave for extended family should be discussed on a case-by-case basis with your supervisor and HR."
Bereavement Policy.txt,15,What is the role of the Line Manager in this process?,"The line manager is the first point of contact for notification, facilitates the condolence visit,  and has discretion in exceptional circumstances. They also play a role in supporting the employee’s return to work."
Bereavement Policy.txt,16,What is the role of the HR Department in this process?,"HR is kept in the loop of all bereavement leave requests, mediates in case of disputes, and offers support in addressing the employee's return-to-work concerns and any needed adjustments."
Bereavement Policy.txt,17,How is this policy implemented?,The policy is implemented through communication to all employees and by line managers and HR following the outlined guidelines and procedures.
Bereavement Policy.txt,18,Where can I find more information about this policy?,Refer to the official Angel Broking Bereavement Policy document or contact HR for clarification.
Bereavement Policy.txt,19,What if I am a temporary employee and need bereavement leave?,"The policy explicitly covers temporary employees, so the same procedures and guidelines apply."
Bereavement Policy.txt,20,What support can Angel Broking offer beyond bereavement leave?,"The policy encourages discussions with HR and Line Managers to assess any further support required, hinting at potential adjustments to duties and responsibilities to facilitate a smoother return to work."
Car Lease Policy.txt,1,What is the purpose of this car lease policy?,"This policy outlines the benefits, details, and guidelines for Angel One Ltd.'s company car lease program, designed to help employees maximize this perk."
Car Lease Policy.txt,2,Who is eligible for the company car lease program?,All full-time Angel One Ltd. employees in grades M7 to M1 and T4 to T1 are eligible from their first day of employment.
Car Lease Policy.txt,3,How long is the lease term for the company car?,The lease term ranges from a minimum of 3 years to a maximum of 5 years.
Car Lease Policy.txt,4,"How is the car registered, and what is the agreement structure?","The car is registered in the employee's name under a Tri-Party agreement between Angel One (lessee), the leasing vendor, and the employee (co-lessee)."
