Queries ,Answer ,AskAngela Response
how can i download my relieving letter?,There is a dowmload option on alumini portal,,"The policies indicate that the company will arrange for your *relieving letter* and Full & Final Settlement amount within 45 days from your last day of working, provided you serve your full notice period. The processing of the *relieving letter* is subject to the completion of clearance processes related to HR, Admin, Finance, and IT.

However, the policies do not mention specific information about how to download your *relieving letter*."
how can i revoke my experience letter?,,,The policies do not mention specific information about revoking an experience letter. I'm unable to provide details on this particular question.
how can i submit my self-review with an approved goal plan?,Speak with your HRBP,,"The available policies indicate that employees are expected to complete a *self review* during the Annual Appraisal cycle, which includes an assessment of their goals. Goals are defined and finalized in discussion with your manager at the start of the review period.

However, the policies do not provide specific details on the process or system for *submitting* your *self review* with an approved goal plan."
how can i get employment verification for a specific individual?,Drop mail on hrhelpdesk@angelone.in,,The policies do not mention specific information about how to get employment verification for a specific individual. I'm unable to provide details on this particular question.
how can we authenticate the employment check of an individual?,Drop mail on hrhelpdesk@angelone.in,,"Employment history is verified as part of the background check process at Angel One. This verification is carried out by a third-party background verification agency or an outsourced vendor on the company's behalf.

The policies indicate that these checks are conducted to confirm employment history, but do not provide specific details on the exact methods or steps used by the agency to authenticate an individual's employment."
what is the process for requesting a copy of my experience letter?,Soft copy uploaded on alumini portal,,The policies do not mention specific information about the process for requesting a copy of an *experience letter*. I'm unable to provide details on this particular question.
how can i confirm my date of joining?,Through offer letter ,,"To confirm your date of joining, you can reach out to the Recruiter or HR. It is recommended to do this preferably 2 days prior to your joining date."
how can i get the final decision on my registration number?,Specification needed,,The policies do not mention specific information about how to get the final decision on a registration number. I'm unable to provide details on this particular question.
how can i get ex-employee verification details?,The concern team Background verification drops mail on hrhelpdesk,,The policies do not mention specific information about how to obtain ex-employee verification details. I'm unable to provide details on this particular question.
what is the status of my it asset submission?,Follow up with the IT Team,,The policies do not mention specific information about the status of an IT asset submission. I'm unable to provide details on this particular question.
how can i get my employee code?,"After onboarding documents process done , employee code is generated.",,"You will receive your Employee Code, Email ID, and Single-Sign-On ID on your joining date. These details will be sent to your personal email ID during the first half of the day."
how can i update my designation on darwinbox?,Designation is updated by Amit Walke,,The policies do not mention specific information about updating your designation. I'm unable to provide details on this particular question.
how can i confirm asset delivery and receipt?,,,The policies do not mention specific information about asset delivery and receipt confirmation. I'm unable to provide details on this particular question.
how can i get my final notice letter?,Not there,,"To receive your relieving letter, you need to serve the full notice period as per company policy. The company will arrange for the relieving letter within 45 days from your last day of working, subject to the completion of all clearance processes related to HR, Admin, Finance, and IT."
how can i get a new login id and password for the fnf settlement/recovery link?,Access is provided to all the existing employees along with the login credentials.,,The policies do not mention specific information about a login ID and password for an FNF settlement/recovery link. I'm unable to provide details on this particular question.
how can i get clarification on kyc document discrepancies?,,,"The available policies indicate that if a prospective client fails to provide satisfactory evidence of identity, or if the information provided is suspected to be non-genuine, it should be noted and reported to a higher authority within the intermediary. An account will not be opened if it's not possible to ascertain the client's identity, or if the information provided is suspected to be non-genuine.

However, the policies do not include complete details about a specific process for clients to get clarification on KYC document discrepancies."
how can i understand the penalty for my asset submission?,Mail on ITsupport team.,,The policies do not mention specific information about the penalty for asset submission. I'm unable to provide details on this particular question.
how can i verify my status on the external alumni portal?,,,The policies do not mention specific information about the external alumni portal or how to verify your status on it. I'm unable to provide details on this particular question.
has my appeal letter been sent?,Specification needed,,"An employee is required to submit a written appeal letter to the People Relations Lead within 14 working days from the date of receiving the decision. However, there is no specific information available regarding a process to confirm whether your appeal letter has been sent or received by the organization."
"how can i get updates on my relieving letter, experience letter, fnf, or provident fund?","Drop mail on hrhelpdesk@angelone.in for relieving letter,experience letter,fnf & pfsupport@angelone.in  for provident fund ",,"The policies state that your *Final Settlement* and *relieving letter* are processed upon completion of clearance processes related to HR, Admin, Finance, and IT, and after surrendering company assets. However, the policies do not mention specific information about how to get direct updates on their status.

The policies do not mention specific information about an *experience letter*. I'm unable to provide details on this particular question.

For your *Provident Fund*, you can initiate and track withdrawal or transfer requests by logging into the *Member e-Sewa portal* (for withdrawal) or the *Unified portal (member interface)* (for transfer). These portals are where you manage your PF details and processes."
how long will it take to get my experience letter?,45 days after the last working date,,"The policies state that employees who have been terminated due to absconding will not be eligible to receive an *experience letter* from the company. However, the policies do not mention specific information about how long it takes to receive an *experience letter* under normal circumstances."
how can i get my grant letter?,Drop mail to Vinit.tiwari@angelone.in,,"The *Grant Letter* is issued and communicated to the *Grantee* by the Administrator. This letter serves as evidence of the grant of Award units and provides specific details about the grant, such as the number of *Options* allocated, the *Start Date*, and all *Vesting Conditions*."
how can i get my work experience letter?,Relieving letter is uploaded on the alumini portal,,The policies do not mention specific information about how to get a work experience letter. I'm unable to provide details on this particular question.
how can i view my final last working date and recovery days?,Can check on Darwin box after resignation,,"The available policies discuss aspects related to *Full & Final Settlement*, *Notice Period*, and recovery for short notice periods. They also outline how *Retirement* dates are determined. However, the policies do not include specific details on how employees can view their individual final last working date or details regarding recovery days."
how can i update my job level on darwinbox?,Drop mail to Amit Walke at Amit.Walke@angelone.in,,The policies do not mention specific information about updating your job level on Darwinbox. I'm unable to provide details on this particular question.
how can i get a replacement relieving letter?,,,"To obtain a relieving letter, you should reach out to your previous employer as soon as possible to request it.

If you are facing delays or issues in receiving the letter, it is important to inform your recruiter or onboarding SPOC at least 2 days before your joining date. They will be able to guide you on the next steps."
what is the status of my experience letter?,Drop mail on hrhelpdesk@angelone.in,,"The available policies indicate that *employees who have been terminated due to absconding will not be eligible to receive an experience letter*. However, the policies do not include complete details about the general status or a process to track an experience letter."
how can i get form 16?,on the alumini portal,,The policies do not mention specific information about Form 16. I'm unable to provide details on this particular question.
what is the process for submitting form 16?,,,The policies do not mention specific information about the process for submitting form 16. I'm unable to provide details on this particular question.
how can i get the status of my submitted assets?,"Once assets are submitted, get confirmation from IT Team",,The policies do not mention specific information about the status of submitted assets. I'm unable to provide details on this particular question.
how can i get the status of my laptop surrender process?,"On the last working date, employee surrenders Company IT assets to the IT Team",,The policies do not mention specific information about the status of your laptop surrender process. I'm unable to provide details on this particular question.
how can i confirm assets handed over to my reporting manager?,,,The policies do not mention specific information about confirming assets handed over to a reporting manager. I'm unable to provide details on this particular question.
how can i get my experience letter and relieving letter urgently?,Relieving letter & experience letter are uploaded on the portal once FNF is done.,,"To receive your *relieving letter*, you must serve the full notice period as per company policy and complete all clearance processes with HR, Admin, Finance, and IT. For voluntary exits, the company will arrange for the *relieving letter* within 45 days from your last day of working.

Regarding the *experience letter*, employees terminated due to absconding are not eligible to receive one. For other types of exits, it is generally provided upon successful completion of your tenure and clearance.

The policies do not mention specific information about an expedited process for obtaining these letters urgently."
how can i get my esop perq?,Drop mail to Vinit.tiwari@angelone.in,,"The ESOP perquisite refers to the *Employee gain*, which is the difference between the *Market value* of the shares at the time of exercise and the *Exercise price* (or *Grant value*) at which they were granted to you. This gain is considered for taxation purposes.

To realize this perquisite, you need to exercise your ESOPs. The process involves:
- Updating your Demat account details in the ESOP portal under profile details and awaiting approval.
- Logging into your ESOP portal via Darwin box.
- Clicking on the 'Exercise' button and filling in the details of the ESOP options you wish to exercise.
- Making separate online transfers for the *Exercise Payment* (No. of Units * Exercise Price) and the *Perquisite Tax* amount.

The *Perquisite Tax* is calculated based on your Income Tax Rate multiplied by the Perquisite Value, and it needs to be transferred to the company's perquisite tax account."
how can i get form 19?,,,The policies do not mention specific information about Form 19. I'm unable to provide details on this particular question.
how can i get an update on my department/grade/job level after promotion?,IJP letter is shared with the employee which is uploaded on the portal.,,The policies do not mention specific information about how to get an update on your department/grade/job level after a promotion. I'm unable to provide details on this particular question.
how can i get clarification on my qa letter?,,,The policies do not mention specific information about qa letters. I'm unable to provide details on this particular question.
when will i be eligible for a probation completion letter?,,,The policies do not mention specific information about probation completion letters. I'm unable to provide details on this particular question.
how can i get the it asset laptop surrender processed?,Drop mail to the IT Team,,The policies do not mention specific information about the IT asset laptop surrender process. I'm unable to provide details on this particular question.
how can i get corrected grant letter details?,,,"The available policies indicate that a *Grant Letter* can include alterations, amendments, additions, deletions, modifications, addendums, or variations, as prescribed by the Administrator. However, the policies do not include complete details about the process for a Grantee to request or initiate corrections to their *Grant Letter* details."
how can i confirm my asset submission status?,By getting mail confirmation from the IT Team,,"The available policies indicate that documents, including assets, need to be submitted at the end of the financial year, around December. Communication regarding where and how to submit these documents will be shared during that period. However, the policies do not include complete details about how to confirm the status of your asset submission."
how can i confirm if an employee has submitted their it assets?,Data is maintained by the IT Team,,The policies do not mention specific information about confirmation of IT asset submission. I'm unable to provide details on this particular question.
how can i get my experience letter and leave encashment details?,"Experience letter - Hrhelpdesk@angelone.in, leave encashment - Payrollsupport team",,"The policies do not mention specific information about an experience letter. I'm unable to provide details on this particular question.

Regarding leave encashment, confirmed employees can encash un-availed *Privilege leave*, up to a maximum of 45 days. This is applicable only at the time of separation from the company, such as retirement, voluntary termination, involuntary termination, or in case of death. The encashment amount is computed on your *Basic Pay* as per the IT Act, specifically at the rate of your *last drawn Basic*. It is calculated on a pro rata basis and will be recovered if excess leaves were used. This will be part of your *Full & Final Settlement*."
how can i get a copy of an exit employee's asset details?,,,"The policies indicate that exiting employees must surrender company assets, such as Desktop / Laptop / Tablet, to the IT Team, and their final settlement is processed only after asset clearance. However, the policies do not contain specific information about how to obtain a copy of an exit employee's asset details."
how can i get my cpp letter?,You will get it on Darwinbox ,,"The policies do not mention specific information about a ""cpp letter"". I'm unable to provide details on this particular question."
how can i get the status of my fnf?,drop mail to payrollsupport@angelone.in,,The policies do not mention specific information about the status of your fnf. I'm unable to provide details on this particular question.
how can i get my laptop and other company assets back?,No need to submit personal laptop but company assets needs to be submitted to the IT Team.,,The policies do not mention specific information about getting company assets back. I'm unable to provide details on this particular question.
how can i get a waiver for asset deductions?,,,You can opt out of any particular *flexi component* by writing to payrollsupport@angelbroking.com. The eligibility for each component's amount in the Flexible Benefit Plan structure is fixed and not subject to employee discretion.
how can i get my attendance corrected for a specific date?,,,"You can regularize your attendance on the *HRMS* system. This can be done through the web application or mobile app by navigating to the 'Attendance' tab.

Employees can submit attendance regularization requests with a maximum 60-day delay or backlog period. Requests for attendance regularization with more than 60 days of backlog cannot be applied and will be regarded as Loss of Pay."
how can i get my experience letter corrected?,No need for experience letter to be corrected as per our records letters are shared,,The policies do not mention specific information about how to get an experience letter corrected. I'm unable to provide details on this particular question.
how can i get my salary and experience certificate?,Salary is credited in the bank account of employees once fnf is done as well as experience certificate,,"Salary Transfers are processed on the 28th of the month. If the 28th falls on a non-working day, your salary will be credited on the preceding working day. For new joiners, salary for the same month will be paid if your date of joining is on or before the 20th of the month. Please note that a joint savings account cannot be used for salary credit.

The policies do not mention specific information about an experience certificate. I'm unable to provide details on this particular question."
how can i get my name formatted correctly?,Specification needed,,"To ensure your name is formatted correctly, double-check how it appears on the onboarding form. Your *official email ID* is created using your FirstName.LastName, so it's important that your name is spelled and formatted exactly as you want it. Make sure each part of your name (First Name, Last Name, etc.) is in the right field.

If your onboarding form has already been submitted and you need to make corrections, you can connect with your *onboarding SPOC* to have the form resent to you."
how can i get confirmation on my employment status?,,,"Your Offer Letter serves as your official Appointment Letter, which confirms your employment status."
what is the esop process for my employee id?,,,"The policies describe a general ESOP process, not one specific to an individual employee ID. To exercise your ESOPs:

- First, ensure your *Demat account* details are added and approved in *Darwinbox* under *Dashboard* >> *ESOP* >> *My profile* >> *Add Demat details*.
- Log in to your *ESOP portal* from *Darwinbox*. On the dashboard, check ""Options available for exercise (No.)"".
- Click on the ‘Search’ button, then select the ‘Exercise’ button.
- Fill in the number of ESOP options you wish to exercise and verify the *exercise amount* and *perquisite amount*.
- Make the payment. *Exercise Payment* and *Perquisite Tax Payment* should be made in separate online transfers via *Cheque*, *IMPS*, *NEFT*, *RTGS*, or *Funding*.
- Note that an *ESOP* once exercised cannot be revoked, though participation can be revoked under *Pending Allotment* before allocation.
- After exercise, you will receive an *Exercise Letter* via email."
how can i confirm which relieving letter is correct?,Drop mail on hrhelpdesk@angelone.in,,The policies do not mention specific information about how to confirm the correctness of a *relieving letter*. I'm unable to provide details on this particular question.
how can i get employment verification for a specific candidate?,Drop mail on hrhelpdesk@angelone.in,,The policies do not mention specific information about how to get employment verification for a specific candidate. I'm unable to provide details on this particular question.
how can i get contact details for human resources regarding ex-employee background verification?,,,"The available policies indicate that for any queries related to background verification *before joining*, you can reach out to `employee.onboarding@angelone.in`. However, the policies do not include specific contact details for *Human Resources regarding ex-employee background verification*."
how can i get my experience certificate and payslips for the last few months?,Drop mail on hrhelpdesk@angelone.in for experience certificate & payslips to payrollsupport ,,The policies do not mention specific information about how to get your experience certificate or payslips for the last few months. I'm unable to provide details on these particular questions.
how can i get my service certificate?,,,The policies do not mention specific information about a service certificate. I'm unable to provide details on this particular question.
how can i expedite the issuance of my experience certificate?,,,The policies do not mention specific information about expediting the issuance of an experience certificate. I'm unable to provide details on this particular question.
how can i get my experience letter and fnf settlement status?,"Experience letter - Hrhelpdesk@angelone.in, FNF settlement status - Payrollsupport team/ Both on alumini portal.",,"Regarding your experience letter, the policies state that employees who have been terminated due to absconding will not be eligible to receive an experience letter from the company. However, the policies do not mention specific information about the process for obtaining an experience letter under other circumstances.

For your Full & Final Settlement status, the policies indicate that the Final Settlement and relieving letter are processed subject to the completion of clearance processes related to HR, Admin, Finance, and IT, and after the IT Team receives asset clearance. However, the available policies do not include complete details about how to check the status of your settlement."
"how can i get my experience and relieving letters with a detailed breakdown of salary, tax, and provident fund deductions?","Detailed breakdown of salary,tax,and provident fund deductions are not given in Experience & Relieving letters.",,"The policies do not mention specific information about how to obtain your experience letter, a detailed breakdown of salary, or provident fund deductions.

Regarding the relieving letter, the policies state that a relieving letter from your *previous organization* is mandatory for joining and must be provided within 60 days post your joining.

While perquisite tax is mentioned, the policies do not contain details on how to get a comprehensive breakdown of all tax deductions."
how can i get my provident fund computation sheet?,,,The policies do not mention specific information about provident fund computation sheets. I'm unable to provide details on this particular question.
"how can i get an employment verification letter with specific details (e.g., name, job title, employment dates, salary, purpose)?",There is no employment verification letter. Employment agency drops a mail to us to verify the details on hrhelpdesk.,,The policies do not mention specific information about how to get an employment verification letter with specific details. I'm unable to provide details on this particular question.
how can i get accurate promotion status in my excel export?,,,The policies do not mention specific information about getting accurate promotion status in an Excel export. I'm unable to provide details on this particular question.
how can i get an experience letter for a home loan?,Bonafide letter is shared with the employee. Drop mail on muriel.dcosta@angelone.in,,The policies do not mention specific information about how to get an experience letter for a home loan. I'm unable to provide details on this particular question.
how can i get my experience letter picked up?,,,The policies do not mention specific information about how to get your experience letter picked up. I'm unable to provide details on this particular question.
how can i get my fnf accurately processed?,,,The policies do not mention specific information about how to get your Full and Final settlement (FnF) accurately processed. I'm unable to provide details on this particular question.
how can i update my birth date?,Drop mail to Amit.Walke@angelone.in,,"To update your birth date, you can edit your onboarding form. All fields on the onboarding form are editable.

If you have already submitted the form, you can connect with your onboarding SPOC. They will be able to resend the form back to you for corrections, allowing you to update your birth date."
how can i get an experience letter for a visa application?,Raise a ticket on zendesk,,The policies do not mention specific information about how to get an experience letter for a visa application. I'm unable to provide details on this particular question.
how can i get my previous employment verification report?,,,"The policies describe that Angel One conducts *employment history* verification as part of its background check process for new hires. This process is typically carried out by a third-party background verification agency after your joining date and can take 3 to 6 weeks to complete.

However, the policies do not contain information on how an employee can obtain their *previous employment verification report* from the company."
how can i verify employment validation for a specific individual?,,,The policies do not mention specific information about how to verify employment validation for a specific individual. I'm unable to provide details on this particular question.
how can i access the alumni portal and reset my password?,,,The policies do not mention specific information about accessing the alumni portal or resetting your password. I'm unable to provide details on this particular question.
what is the authentic relieving letter?,,,"The available policies indicate that the company will arrange for a *relieving letter* upon an employee serving their full Notice Period, but don't include complete details about what constitutes an authentic *relieving letter*."
how can i get training started?,,,"To get training started, you need to follow a few steps for approval and registration:

- *Initial Approval*: Email your manager (or skip-level manager) with a business justification for the learning opportunity.
- *Final Review*: Once your manager approves, send the email to your Learning Partner for final approval from the L&D Head.
- *Timeline*: It is recommended to get these approvals 15 to 30 Days prior to the commencement of the program. All approvals are valid for 3 months for course registration.
- *Registration*: After receiving all approvals, you can register and pay for the course or conference. Ensure you choose options that offer a completion or participation certificate.

Employees need to complete at least 3 months within Angel One to avail themselves of the Learning Wallet."
how can i get my experience letter for a specific employment period?,Experience letter is shared with periods mentioned as per our records.,,I don't have specific information about how to get an experience letter for a specific employment period available in the current policies. The policies only state that employees who have been terminated due to absconding will not be eligible to receive an experience letter from the company.
how can i get my relieving letter in pdf format?,Relieving letters are uploaded on alumini portal in pdf format.,,"The available policies indicate that the company will arrange for your *relieving letter* within 45 days from your last day of working, upon completion of clearance processes related to HR, Admin, Finance, and IT.

However, the policies do not specify the format (e.g., PDF) in which the *relieving letter* will be provided."
how can i get an hr letter certifying my employment?,There is employment letter i.e bonafide letter which is shared by request of employees on hrhelpdesk,,The policies do not mention specific information about how to get an HR letter certifying employment. I'm unable to provide details on this particular question.
how can i resolve an issue with my paxes id?,,,"The policies do not mention specific information about resolving issues with a ""paxes id"". I'm unable to provide details on this particular question."
how can i confirm my passbook balance for a specific month?,,,The policies do not mention specific information about passbook balance. I'm unable to provide details on this particular question.
what are the requirements for relieving and experience letters?,,,"The policies provide information regarding the *relieving letter* in two contexts:

- *For joining Angel:* A relieving letter from your previous organization is mandatory for joining and must be provided within 60 days post your joining date. If you face delays in receiving it, you are advised to reach out to your previous employer and inform your recruiter or onboarding SPOC at least 2 days before your joining date.
- *Upon separation from Angel (Voluntary Exit):* The company will arrange for your relieving letter and Final Settlement amount within 45 days from your last day of working, upon serving the full notice period as per company policy.

The policies do not mention specific information about requirements for an *experience letter*."
how can i get my relieving letter and other details?,Relieving letters are uploaded on alumini portal and other details.,,"To receive your *relieving letter* and *Full & Final Settlement*, you must complete all clearance processes related to HR, Admin, Finance, and IT. It is also mandatory to surrender company assets like Desktop, Laptop, or Tablet to the IT Team, as the final settlement will only be released after asset clearance.

Upon serving your full *Notice Period*, the company will arrange for your *relieving letter* and *Full & Final Settlement* amount within 45 days from your last day of working.

Regarding the *Full & Final Settlement*:
- Any balance of *Annual Leave* at the time of exit will not be adjusted against a short *Notice Period*; the amount for the short notice will be recovered.
- Any earned incentives will not be released to a separated employee.

You must also get a *No Dues certificate* signed by your immediate manager, Human Resource function, Accounts, IT, and Operations."
what is the status of my employee referral/ijp and ir support?,,,"You can track the status of your employee referral or Internal Job Posting (IJP) by logging into Darwinbox (HRMS) and navigating to the *Employee Referral/IJP* section.

The policies do not mention specific information about the status of ""IR support."" I'm unable to provide details on this particular question."
how can i get the necessary forms for transferring my provident fund account?,Either on portal / drop mail to pfsupport team,,"To get the necessary forms for transferring your Provident Fund account, follow these steps:

- Login to the Unified portal (member interface) using your UAN number and password.
- After logging in, click on ‘One Member - One EPF Account (Transfer Request)’ under 'Online Services'.
- You will then need to fill up Form 13 with details, including your PF number from both your previous and current employer.
- You can then download the transfer claim in *pdf format*.
- Remember to submit the physical signed copy of the online PF transfer claim form to the selected employer within 10 days."
how can i update my name on the epfo portal to claim provident fund?,,,The policies do not mention specific information about updating your name on the EPFO portal to claim provident fund. I'm unable to provide details on this particular question.
how can i get my experience letter and six months' salary slips?,Drop mail to hrhelpdesk@angelone.in for experience letter & six month's slip - payrollsupport@angelone.in,,"The policies state that employees who have been terminated due to absconding will not be eligible to receive an *experience letter*. However, the policies do not provide information on the general process for obtaining an *experience letter* under other circumstances.

Regarding *six months' salary slips*, the policies do not mention specific information about how to obtain past *salary slips*. I'm unable to provide details on this particular question."
what is the next step after paying the recovery amount and receiving the relieving letter?,"After recoveryamount is paid, employee provides us a screenshot of payment in order to confirm to the concerned person. Once confirmation received by the concerned person of the payment then relieving letter is shared with the employee.",,The policies do not mention specific information about the next step after paying the recovery amount and receiving the relieving letter. I'm unable to provide details on this particular question.
how can i confirm that i have paid the recovery amount?,Employee shares the screenshot of the recovery amount on the mail.,,"The policies do not mention specific information about a 'recovery amount'. Could you please clarify if you are referring to the *Exercise Payment* or *Perquisite Tax Payment*?

If you are referring to the *Exercise Payment*, you will receive an email notification with the ‘Exercise Letter’ after the payment. To view historical data for both *Exercise Payment* and *Perquisite Tax Payment* amounts, you can access your ESOP dashboard. From the left menu, click on *ESOP Reports*, then *Exercise Reports*, select your plan from the drop-down, and click on search."
how can i get my fnf and experience letter released urgently?,FNF & Experience letters are shared once FNF is done.,,"The policies mention *Full & Final Settlement* and its *Leave Adjustment* component, but they do not provide specific information on how to get your *Full & Final Settlement* or an experience letter released, especially on an urgent basis.

I don't have specific information about the process for urgent release of these documents available in the current policies."
what is the process for obtaining a certificate of achievement?,,,"The available policies indicate that a *virtual certificate* is provided on Angelverse, but they do not include complete details about the process for obtaining or issuing this certificate. The policies only mention that a virtual certificate is granted along with points, which are determined by HR and management."
how can i get an experience letter for a specific ex-employee?,,,The policies do not mention specific information about obtaining an experience letter for an ex-employee. I'm unable to provide details on this particular question.
how can i renew my nism viii certification?,,,The policies do not mention specific information about renewing NISM VIII certification. I'm unable to provide details on this particular question.
how can i get my experience certificate for my entire tenure?,,,The policies do not mention specific information about how to get an *experience certificate* for your entire tenure. I'm unable to provide details on this particular question.
can i get my experience letter if i pay the remaining amount?,,,"The policies state that employees who have been terminated due to absconding will not be eligible to receive an *experience letter*. However, the policies do not mention specific information about whether paying a remaining amount makes an employee eligible for an *experience letter*."
how can i get my experience certificate and salary?,,,"Salary Transfers are processed on the 28th of the month. If this date falls on a non-working day, your salary will be credited on the preceding working day. For new joiners, salary for the same month is paid if your date of joining is on or before the 20th of the month. Please note that a joint savings account cannot be used for salary credit.

The policies do not mention specific information about how to get a general experience certificate."
how can i verify the designation and work experience of an employee?,,,"The company conducts background verification checks to confirm an employee's employment history and other pertinent information, which includes their work experience. This process is carried out by a third-party background verification agency after an employee's joining date. The agency will conduct checks as requested by the Company, which may include details related to employment."
how can i get an update on my experience letter inquiry?,on the hrhelpdesk,,The policies do not mention specific information about an experience letter inquiry. I'm unable to provide details on this particular question.
how can i get confirmation of my nism certification status?,,,The policies do not mention specific information about how to get confirmation of your NISM certification status. I'm unable to provide details on this particular question.
how can i get the option to clock in?,Darwin Time management,,"The policies indicate that attendance capture methods vary.

For some employees, attendance is captured through the *HRMS system - Darwinbox* via its web application or mobile app, where employees *clock-in* and *clock-out* their attendance. You can regularize attendance on *HRMS* by going to the 'Attendance' tab.

However, for employees in the *Technology & Product Departments*, attendance is captured automatically based on daily activity in *Slack*, and they are *not* required to mark attendance on *Darwinbox* or Angela.

To provide you with the most accurate information, could you please clarify which department you are in, or if the *HRMS* clock-in policy applies to you?"
what is the process for receiving my fnf after not receiving recovery amount information?,Recovery amount,,"The available policies indicate that incentives can be recovered from a *Final Settlement* in certain cases, and that no incentives are paid to a separated employee in their *Full and Final Settlement*. However, the policies do not provide specific information about the general process for receiving your *Full and Final Settlement* or what steps to take if you have not received recovery amount information."
how can i get acknowledgment for returning company assets?,Acknowledgement is given by the IT Team after IT company assets submission.,,"To get acknowledgment for returning company assets, you need to surrender your Desktop, Laptop, or Tablet to the IT Team. Your final settlement will be released only after the *asset clearance team* provides clearance.

Additionally, upon termination of employment, you must surrender all business-related documents and confidential company data. You will then need to obtain a *No Dues certificate* which requires a signature from various functions, including IT. This *No Dues certificate* serves as the overall acknowledgment of all clearances, including the return of company assets."
how can i claim my full and final gratuity amount?,,,The policies do not mention specific information about gratuity. I'm unable to provide details on this particular question.
how can i confirm that a designation letter was issued and signed by the compliance officer?,,,"The policies indicate that the Principal Officer also acts as the *Compliance Officer* of the company and that their name, designation, and address are intimated to the Director-FIU and other regulators like BSE, NSE, and SEBI.

However, the policies do not mention specific information about how to confirm that a designation letter was issued and signed by the *Compliance Officer*. I'm unable to provide details on this particular question."
how can i get my experience letter and determine the recovery amount for a notice period?,,,"Regarding your experience letter:
Employees who have been terminated due to absconding will *not* be eligible to receive an experience letter. The policies do not mention specific information about how to obtain an experience letter in other circumstances, although for a *Voluntary Exit* where the full notice period is served, a *relieving letter* is arranged.

Regarding the recovery amount for a notice period:
If you fail to serve the defined notice period, the shortfall will be recovered from your *Full and Final Settlement*. This recovery is calculated at the rate of *Basic* pay. Please note that a balance of *Annual Leave* at the time of exit will *not* be adjusted against a short notice period; the amount for the short notice will still be recovered."
how can i confirm my gratuity eligibility?,,,The policies do not mention specific information about gratuity eligibility. I'm unable to provide details on this particular question.
how can i confirm if my provident fund amount has been transferred?,,,The policies do not mention specific information about provident fund transfers. I'm unable to provide details on this particular question.
